"","trans_date","Ticker","Representative","Transaction","Amount","fivedayrets","tendayrets","fifteendayrets","thirtydayrets","tradevol","marketreturnthirty","prev30days","prev30market"
"11",2021-07-19,"AA","Tommy Tuberville","Sale",50001,0.0864288542390059,0.0304605824177486,0.0433382730227363,0.279841508019196,6269200,0.0130111559126627,0.220308317087848,0.0469514132463138
"12",2021-04-19,"AA","Tommy Tuberville","Sale",50001,0.0575889988469627,0.0197082154382038,-0.100332618876472,-0.0949576603573198,6704900,0.0141764362009087,0.283930256300544,0.0568620594875739
"13",2021-03-16,"AA","Tommy Tuberville","Sale",15001,-0.0439794268098015,0.0127387994858679,0.0391263886986974,0.198362066200977,6286700,0.0263960259960325,0.469906358139402,0.00660123745905139
"14",2021-03-16,"AA","Tommy Tuberville","Sale",15001,-0.0439794268098015,0.0127387994858679,0.0391263886986974,0.198362066200977,6286700,0.0263960259960325,0.469906358139402,0.00660123745905139
"15",2021-03-16,"AA","Tommy Tuberville","Purchase",1001,-0.0439794268098015,0.0127387994858679,0.0391263886986974,0.198362066200977,6286700,0.0263960259960325,0.469906358139402,0.00660123745905139
"16",2021-03-16,"AA","Tommy Tuberville","Purchase",100001,-0.0439794268098015,0.0127387994858679,0.0391263886986974,0.198362066200977,6286700,0.0263960259960325,0.469906358139402,0.00660123745905139
"17",2021-01-06,"AA","Tommy Tuberville","Sale",1001,-0.0754622917425858,0.0174912888635486,0.0689654757924265,0.448775532649959,22833800,-0.00288863861896427,-0.144506140336858,0.043638097027564
"18",2021-01-06,"AA","Tommy Tuberville","Purchase",15001,-0.0754622917425858,0.0174912888635486,0.0689654757924265,0.448775532649959,22833800,-0.00288863861896427,-0.144506140336858,0.043638097027564
"19",2021-01-06,"AA","Tommy Tuberville","Purchase",15001,-0.0754622917425858,0.0174912888635486,0.0689654757924265,0.448775532649959,22833800,-0.00288863861896427,-0.144506140336858,0.043638097027564
"20",2021-01-06,"AA","Tommy Tuberville","Sale",1001,-0.0754622917425858,0.0174912888635486,0.0689654757924265,0.448775532649959,22833800,-0.00288863861896427,-0.144506140336858,0.043638097027564
"21",2021-01-06,"AA","Tommy Tuberville","Sale",1001,-0.0754622917425858,0.0174912888635486,0.0689654757924265,0.448775532649959,22833800,-0.00288863861896427,-0.144506140336858,0.043638097027564
"22",2020-04-13,"AA","Kelly Loeffler","Sale",15001,-0.00382657822223831,-0.0701531244870839,-0.0127552181309374,0.552295844669686,12227900,0.114112996207324,0.149560060419045,0.200014263012354
"23",2021-10-04,"AAL","Pat Fallon","Sale",1001,-0.00716856082086215,0.0153609311131115,0.139784887875838,-0.166410641760848,25758300,-0.00145804947984485,0,-8.8473310801418e-05
"24",2021-10-04,"AAL","Pat Fallon","Sale",1001,-0.00716856082086215,0.0153609311131115,0.139784887875838,-0.166410641760848,25758300,-0.00145804947984485,0,-8.8473310801418e-05
"25",2021-08-10,"AAL","Pat Fallon","Sale",1001,0.0209313960789432,0.0219780208279423,0.00523275744464891,0.123495440947387,23637500,-0.0298713428467581,-0.0830133877159309,0.0216437657299067
"26",2021-08-10,"AAL","Pat Fallon","Sale",1001,0.0209313960789432,0.0219780208279423,0.00523275744464891,0.123495440947387,23637500,-0.0298713428467581,-0.0830133877159309,0.0216437657299067
"27",2021-06-24,"AAL","Pat Fallon","Sale",1001,0.00540535626535621,0.0398034398034397,0.0402948402948402,-0.0796068796068796,28539300,0.0196675595052536,-0.123222711039324,0.0316823844309608
"28",2021-06-24,"AAL","Pat Fallon","Sale",1001,0.00540535626535621,0.0398034398034397,0.0402948402948402,-0.0796068796068796,28539300,0.0196675595052536,-0.123222711039324,0.0316823844309608
"29",2021-05-26,"AAL","Pat Fallon","Purchase",50001,-0.0590420338167644,-0.0871180052484726,-0.129644885617047,-0.116432663766832,26105600,0.0310911044684543,0.0989109755485038,0.0094659133093471
"30",2021-05-26,"AAL","Pat Fallon","Sale",1001,-0.0590420338167644,-0.0871180052484726,-0.129644885617047,-0.116432663766832,26105600,0.0310911044684543,0.0989109755485038,0.0094659133093471
"31",2021-05-26,"AAL","Pat Fallon","Sale",1001,-0.0590420338167644,-0.0871180052484726,-0.129644885617047,-0.116432663766832,26105600,0.0310911044684543,0.0989109755485038,0.0094659133093471
